1570327561.000000, 1570327561.000000, 1570327561.000000
32.000000, 32.000000, 32.000000
-43,47,24
-37,64,43
-34,63,55
-37,51,59
-42,50,41
-40,43,43
-34,45,42
-27,34,42
-37,39,34
-43,37,26
-37,39,29
-46,33,21
-45,40,18
-46,42,18
-49,51,18
-39,40,31
-43,41,33
-54,46,22
-52,46,7
-61,40,3
-74,21,-16
-79,31,2
-68,49,-26
-63,30,-31
-18,43,39
-25,35,32
-2,24,44
21,19,61
25,14,57
31,16,46
25,18,52
15,20,51
5,20,49
7,22,55
14,26,60
14,20,46
23,36,57
29,32,58
24,23,49
20,19,47
22,21,53
38,23,49
29,22,47
37,46,69
23,47,71
18,37,39
9,40,54
11,50,80
17,51,68
-13,31,36
-17,24,56
3,9,55
-6,6,60
-29,28,63
-33,18,47
-33,15,53
-20,11,66
-42,4,36
-62,6,14
-42,6,31
-34,6,39
-40,3,28
-34,-1,-3
-35,3,-1
-76,2,-31
-88,1,-26
-63,31,24
-37,27,11
-66,26,22
-33,22,27
-49,28,25
-51,29,20
-52,36,23
-36,41,37
-27,51,44
-40,40,41
-34,44,44
-35,45,45
-29,45,47
-41,51,43
-40,45,41
-32,47,37
-39,44,37
-41,49,30
-43,49,26
-42,46,21
-36,46,25
-34,45,22
-38,47,20
-38,47,20
-33,45,22
-38,44,23
-47,46,13
-54,49,9
-33,50,18
-30,49,26
-35,53,21
-27,54,14
-28,47,23
-25,44,37
-26,45,28
-50,43,36
-51,33,27
-78,38,33
-82,33,50
-92,20,40
-112,20,42
-98,22,41
-94,18,44
-100,17,39
-89,17,36
-71,19,41
-64,15,38
-54,9,29
-46,7,26
-37,3,21
-39,6,23
-43,12,27
-29,13,29
-29,13,26
-32,7,30
-28,6,34
-23,0,34
-25,-1,31
-26,0,32
-24,0,32
-28,3,33
-27,6,34
-24,13,25
-19,8,22
-18,14,17
-16,16,15
-22,11,14
-20,17,19
-21,8,12
-36,7,20
-56,12,28
-67,23,28
-64,43,24
-85,70,21
-85,85,13
-90,95,-9
-92,97,-6
-75,93,4
-62,90,10
-54,80,14
-51,75,10
-48,67,5
-45,62,5
-39,57,5
-38,56,5
-35,54,5
-30,58,6
-28,60,6
-25,65,5
-25,67,6
-26,68,6
-27,66,4
-27,65,4
-26,65,4
-24,60,5
-24,59,6
-21,56,8
-20,55,8
-17,53,9
-17,52,9
-21,53,9
-23,54,8
-23,56,8
-24,58,8
-25,59,8
-26,61,7
-27,62,8
-29,64,7
-29,64,7
-30,64,7
-31,64,6
-31,62,5
-31,61,5
-30,61,5
-28,61,5
-27,61,4
-26,61,4
-26,61,3
-25,61,3
-26,59,2
-25,58,4
-25,59,4
-24,58,7
-23,55,7
-24,50,6
-26,50,7
-30,52,4
